,Datetime,Open
777,2025-10-10 15:05:00-04:00,193.10790941792965
778,2025-10-10 15:10:00-04:00,193.0579615674141
779,2025-10-10 15:15:00-04:00,193.00822755636037
780,2025-10-10 15:20:00-04:00,192.9587064692672
781,2025-10-10 15:25:00-04:00,192.90939739455303
782,2025-10-10 15:30:00-04:00,192.8602994245388
783,2025-10-10 15:35:00-04:00,192.81141165543158
784,2025-10-10 15:40:00-04:00,192.76273318730782
785,2025-10-10 15:45:00-04:00,192.7142631240967
786,2025-10-10 15:50:00-04:00,192.66600057356374
787,2025-10-10 15:55:00-04:00,192.61794464729437
788,2025-10-10 16:00:00-04:00,192.5700944606775
789,2025-10-10 16:05:00-04:00,192.5224491328893
790,2025-10-10 16:10:00-04:00,192.47500778687703
791,2025-10-10 16:15:00-04:00,192.42776954934274
792,2025-10-10 16:20:00-04:00,192.38073355072734
793,2025-10-10 16:25:00-04:00,192.33389892519457
794,2025-10-10 16:30:00-04:00,192.28726481061497
795,2025-10-10 16:35:00-04:00,192.24083034855013
796,2025-10-10 16:40:00-04:00,192.19459468423682
797,2025-10-10 16:45:00-04:00,192.14855696657122
798,2025-10-10 16:50:00-04:00,192.10271634809342
799,2025-10-10 16:55:00-04:00,192.05707198497157
800,2025-10-10 17:00:00-04:00,192.01162303698658
801,2025-10-10 17:05:00-04:00,191.96636866751646
